행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
서울특별시  (1100000000),"9,657,969","9,657,969","618,497","778,910","1,455,044","1,471,606","1,524,671","1,522,983","1,250,098","706,115","280,163","43,029","6,853"
서울특별시 종로구 (1111000000),"149,125","149,125","7,449","10,937","23,331","19,917","22,132","25,410","20,069","12,485","6,016","1,103",276
서울특별시 종로구 청운효자동(1111051500),"12,426","12,426",823,"1,165","1,590","1,683","2,148","1,981","1,395","1,008",536,77,20
서울특별시 종로구 사직동(1111053000),"9,544","9,544",578,692,"1,235","1,441","1,492","1,551","1,212",767,463,92,21
서울특별시 종로구 삼청동(1111054000),"2,613","2,613",105,188,310,353,367,411,408,285,149,31,6
서울특별시 종로구 부암동(1111055000),"9,990","9,990",545,917,"1,337","1,229","1,630","1,712","1,325",809,395,79,12
서울특별시 종로구 평창동(1111056000),"18,394","18,394","1,150","1,646","2,455","2,228","2,756","3,278","2,539","1,387",769,164,22
서울특별시 종로구 무악동(1111057000),"8,519","8,519",696,"1,011",922,939,"1,496","1,415","1,011",649,309,52,19
서울특별시 종로구 교남동(1111058000),"10,428","10,428",845,849,"1,264","1,704","1,835","1,625","1,158",747,332,54,15
서울특별시 종로구 가회동(1111060000),"4,325","4,325",199,341,500,562,766,688,595,430,194,40,10
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,256","7,256",184,206,892,940,961,"1,327","1,409",829,373,90,45
서울특별시 종로구 종로5.6가동(1111063000),"5,258","5,258",112,222,"1,095",727,591,965,756,527,217,37,9
서울특별시 종로구 이화동(1111064000),"7,558","7,558",233,429,"1,668","1,244",961,"1,107",941,605,308,48,14
서울특별시 종로구 혜화동(1111065000),"16,707","16,707",681,"1,303","4,420","2,072","2,270","2,321","1,631","1,246",639,103,21
서울특별시 종로구 창신제1동(1111067000),"5,116","5,116",128,243,612,534,631,"1,109","1,024",549,232,45,9
서울특별시 종로구 창신제2동(1111068000),"8,296","8,296",236,495,"1,167",893,"1,084","1,833","1,396",813,312,53,14
서울특별시 종로구 창신제3동(1111069000),"6,897","6,897",383,528,951,955,952,"1,276","1,014",539,240,47,12
서울특별시 종로구 숭인제1동(1111070000),"6,081","6,081",287,360,808,838,930,"1,143",892,538,238,37,10
서울특별시 종로구 숭인제2동(1111071000),"9,717","9,717",264,342,"2,105","1,575","1,262","1,668","1,363",757,310,54,17
서울특별시 중구 (1114000000),"125,038","125,038","6,740","6,766","18,494","20,034","17,960","20,697","17,648","10,730","4,865",898,206
서울특별시 중구 소공동(1114052000),"2,077","2,077",164,116,226,415,452,306,237,104,42,10,5
서울특별시 중구 회현동(1114054000),"5,116","5,116",195,192,513,530,664,958,"1,039",599,296,87,43
서울특별시 중구 명동(1114055000),"2,908","2,908",84,125,357,393,426,494,525,320,147,28,9
서울특별시 중구 필동(1114057000),"4,063","4,063",193,173,719,630,506,614,623,360,184,51,10
서울특별시 중구 장충동(1114058000),"4,611","4,611",179,291,"1,220",648,573,588,517,378,184,30,3
서울특별시 중구 광희동(1114059000),"5,270","5,270",131,195,944,814,644,866,864,549,207,41,15
서울특별시 중구 을지로동(1114060500),"1,808","1,808",46,36,195,303,195,319,397,208,76,22,11
서울특별시 중구 신당동(1114061500),"7,715","7,715",277,292,"1,334","1,334","1,051","1,395","1,045",664,255,60,8
서울특별시 중구 다산동(1114062500),"14,228","14,228",567,811,"2,377","2,265","2,047","2,329","1,981","1,239",515,83,14
서울특별시 중구 약수동(1114063500),"17,035","17,035","1,091",948,"2,015","2,383","2,453","2,833","2,686","1,645",822,150,9
서울특별시 중구 청구동(1114064500),"13,994","13,994",763,877,"1,998","2,193","1,933","2,380","1,958","1,189",606,86,11
서울특별시 중구 신당제5동(1114065000),"10,524","10,524",575,540,"1,673","1,724","1,551","1,882","1,336",844,338,49,12
서울특별시 중구 동화동(1114066500),"10,650","10,650",729,869,"1,428","1,344","1,584","1,969","1,429",788,426,70,14
서울특별시 중구 황학동(1114067000),"12,584","12,584",737,524,"2,066","2,808","1,825","1,784","1,530",906,337,57,10
서울특별시 중구 중림동(1114068000),"12,455","12,455","1,009",777,"1,429","2,250","2,056","1,980","1,481",937,430,74,32
서울특별시 용산구 (1117000000),"230,045","230,045","13,411","15,563","33,405","38,098","35,612","37,106","28,959","17,249","8,637","1,631",374
서울특별시 용산구 후암동(1117051000),"17,671","17,671",946,"1,265","2,596","2,816","2,789","2,876","2,264","1,356",602,129,32
서울특별시 용산구 용산2가동(1117052000),"9,951","9,951",356,530,"1,546","1,732","1,387","1,444","1,461",930,454,89,22
서울특별시 용산구 남영동(1117053000),"7,648","7,648",188,259,968,"1,044","1,106","1,620","1,377",692,289,72,33
서울특별시 용산구 청파동(1117055500),"19,761","19,761",661,"1,169","4,181","3,124","2,741","3,129","2,391","1,528",694,109,34
서울특별시 용산구 원효로제1동(1117056000),"16,108","16,108","1,313",874,"2,461","3,706","2,609","2,230","1,626",843,358,69,19
서울특별시 용산구 원효로제2동(1117057000),"14,158","14,158",926,"1,253","1,862","2,055","2,292","2,353","1,725","1,055",552,71,14
서울특별시 용산구 효창동(1117058000),"10,253","10,253",781,755,"1,595","1,874","1,577","1,571","1,060",639,328,59,14
서울특별시 용산구 용문동(1117059000),"12,315","12,315",764,825,"1,845","2,019","1,861","1,983","1,548",985,398,74,13
서울특별시 용산구 한강로동(1117062500),"20,533","20,533","1,126",993,"3,163","4,058","2,867","3,478","2,570","1,417",675,143,43
서울특별시 용산구 이촌제1동(1117063000),"28,090","28,090","2,718","2,914","2,981","3,624","4,907","4,586","3,033","1,838","1,216",239,34
서울특별시 용산구 이촌제2동(1117064000),"8,710","8,710",560,510,949,"1,465","1,251","1,407","1,344",776,369,65,14
서울특별시 용산구 이태원제1동(1117065000),"6,951","6,951",238,277,"1,050","1,175",884,"1,128","1,081",646,369,79,24
서울특별시 용산구 이태원제2동(1117066000),"9,288","9,288",428,489,"1,408","1,675","1,414","1,307","1,204",840,425,84,14
서울특별시 용산구 한남동(1117068500),"21,196","21,196","1,164","1,174","2,778","4,052","3,378","3,275","2,796","1,647",731,165,36
서울특별시 용산구 서빙고동(1117069000),"13,213","13,213",788,"1,479","1,809","1,513","2,460","2,233","1,435",800,604,86,6
서울특별시 용산구 보광동(1117070000),"14,199","14,199",454,797,"2,213","2,166","2,089","2,486","2,044","1,257",573,98,22
서울특별시 성동구 (1120000000),"293,103","293,103","20,297","19,679","44,823","48,730","44,943","47,248","36,697","20,627","8,617","1,189",253
서울특별시 성동구 왕십리제2동(1120052000),"17,077","17,077","1,212","1,209","2,496","2,921","2,650","2,762","2,101","1,191",448,67,20
서울특별시 성동구 왕십리도선동(1120053500),"26,968","26,968","2,353","1,558","4,345","4,743","4,034","4,376","3,079","1,626",722,108,24
